ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
71647-20030216,1309915,21652,1,GEMINI HEATING & AIR CONDITIONING INC.,GEMINI HTG & AIR CONDITIONING,8  FRANCES CT  1ST,BUFFALO GROVE,IL,60089,,,,,1011,Home Repair,,,71647,RENEW,,2002-12-17T00:00:00,2003-03-11T00:00:00,N,2003-02-16T00:00:00,2004-02-15T00:00:00,2003-12-22T00:00:00,2007-10-03T00:00:00,AAI,,,,,
37443-20030216,1313198,33414,1,"MAESTRO GENERAL CONTRACTOR, IN","MAESTRO GENERAL CONTRACTOR, IN",411  SPRINGHILL DR  HOME,ROSELLE,IL,60172,,,,,1010,Limited Business License,,,37443,RENEW,,2002-12-17T00:00:00,2003-03-31T00:00:00,N,2003-02-16T00:00:00,2004-02-15T00:00:00,2003-12-22T00:00:00,2009-09-18T00:00:00,AAI,,,,,
1144115-20030216,1324330,215267,1,COMMERCIAL LEASING CORPORATION.,"SunBridge Capital, Inc.",6300  NALL AVE 2 200,MISSION,KS,66202,,,,,1010,Limited Business License,,,1144115,RENEW,,2002-12-17T00:00:00,2003-02-26T00:00:00,N,2003-02-16T00:00:00,2004-02-15T00:00:00,2003-02-26T00:00:00,2006-01-25T00:00:00,AAI,,,,,
62588-20030216,1334887,19763,2,CHECKPOINT SECURITY SYSTEMS GR,CHECKPOINT SECURITIY SYSTEMS,6640  SHADY OAK RD  300,EDEN PRAIRIE,MN,55344,,,,,1010,Limited Business License,,,62588,RENEW,,2003-02-20T00:00:00,2003-05-22T00:00:00,N,2003-02-16T00:00:00,2004-02-15T00:00:00,2003-05-27T00:00:00,2010-05-11T00:00:00,AAI,,,,,
1121869-20040216,1452052,23009,3,"CROWN BUILDING CONTRACTORS, INC.","CROWN BUILDING CONTRACTORS, INC.",15  SPINNING WHEEL RD  34,HINSDALE,IL,60521,,,,,1011,Home Repair,,,1121869,RENEW,,2003-12-15T00:00:00,2004-01-12T00:00:00,N,2004-02-16T00:00:00,2005-02-15T00:00:00,2003-12-22T00:00:00,2006-05-09T00:00:00,AAI,,,,,
24454-20040216,1453693,30050,1,RONALD J WASHINGTON,HART REMODELING & HOME IMPROVE,3831 W 178 ST  1,COUNTRY CLUB HILLS,IL,60478,,,,,1011,Home Repair,,,24454,RENEW,,2003-12-15T00:00:00,2004-01-21T00:00:00,N,2004-02-16T00:00:00,2005-02-15T00:00:00,2003-12-22T00:00:00,2006-07-07T00:00:00,AAI,,,,,
16652-20040216,1457305,51767,1,TIP TOP BUILDERS INC,TIP TOP BUILDERS INC,8255  KIMBAL   1ST,SKOKIE,IL,60076,,,,,1010,Limited Business License,,,16652,RENEW,,2003-12-15T00:00:00,2009-06-18T00:00:00,N,2004-02-16T00:00:00,2005-02-15T00:00:00,2003-12-22T00:00:00,2009-06-19T00:00:00,AAI,,,,,
1196871-20040216,1463648,222193,1,TARGET AIRE INC,TARGET AIRE INC,31632 N ELLIS   105,VOLO,IL,60073,,,,,1010,Limited Business License,,,1196871,RENEW,,2003-12-15T00:00:00,2004-02-04T00:00:00,N,2004-02-16T00:00:00,2005-02-15T00:00:00,2003-12-22T00:00:00,2010-05-11T00:00:00,AAI,,,,,
1273915-20040216,1465322,251852,1,PAPPAS TRANSPORT INC.,PAPPAS CONSTRUCTION CO.,8605 1/2 N LINCOLN AVE  B,MORTON GROVE,IL,60053,,,,,1010,Limited Business License,,,1273915,RENEW,,2003-12-15T00:00:00,2007-06-22T00:00:00,N,2004-02-16T00:00:00,2005-02-15T00:00:00,2003-12-22T00:00:00,2007-06-22T00:00:00,AAI,,,,,
1305272-20040216,1466144,256534,1,"D T N MARKET ACCESS, LLC","D T N MARKET ACCESS , LLC",9110 W DODGE RD  200,OMAHA,NE,68114,,,,,1010,Limited Business License,,,1305272,RENEW,,2003-12-15T00:00:00,2004-03-23T00:00:00,N,2004-02-16T00:00:00,2005-02-15T00:00:00,2003-12-22T00:00:00,2007-12-26T00:00:00,AAI,,,,,
1477372-20060109,1477372,245472,2,ROBERT J. MEDER,Northwest Improvement Co.,1090  TAMARACK   477,MOUNT PROSPECT,IL,60056,,,,,1011,Home Repair,,,1477372,C_LOC,2004-02-18T00:00:00,2006-01-09T00:00:00,2006-01-09T00:00:00,N,2006-01-09T00:00:00,2007-02-15T00:00:00,2006-01-09T00:00:00,2006-01-09T00:00:00,AAI,,,,,
50776-20040216,1458339,56730,1,FREDERICK MCGEE,MCGEE'S REMODELING,1009 S 11TH AVE  1,MAYWOOD,IL,60153,,,,,1011,Home Repair,,,50776,RENEW,,2003-12-15T00:00:00,2004-02-26T00:00:00,N,2004-02-16T00:00:00,2005-02-15T00:00:00,2003-12-22T00:00:00,2008-11-24T00:00:00,AAI,,,,,
46929-20050216,1559226,56085,2,GADBOIS CONSTRUCTION INC,"GADBOIS CONSTRUCTION, INC.",21984  PEMBROOK DR  1ST,FRANKFORT,IL,60423,,,,,1010,Limited Business License,,,46929,RENEW,,2004-12-20T00:00:00,2006-02-10T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,,2006-02-10T00:00:00,AAI,,,,,
74923-20050216,1560468,63907,1,SAMUEL HOWARD,OSCO CONSTRUCTION,15630 S ASHLAND AVE  1,HARVEY,IL,60426,,,,,1011,Home Repair,,,74923,RENEW,,2004-12-20T00:00:00,2007-07-02T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,,2007-07-02T00:00:00,AAI,,,,,
85469-20050216,1560934,66344,2,ADEL METTI,A B M SERVICE,1167  ALGONQUIN RD  REAR,DES PLAINES,IL,60016,,,,,1010,Limited Business License,,,85469,RENEW,,2004-12-20T00:00:00,2006-03-21T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,2006-03-21T00:00:00,2006-03-22T00:00:00,AAI,,,,,
85497-20050216,1561450,81615,1,QUALITY URBAN INVESTORS AND DEVELOPERS INC.,QUID INC.,1131  LAKE ST  112,OAK PARK,IL,60301,,,,,1011,Home Repair,,,85497,RENEW,,2004-12-20T00:00:00,2007-07-02T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,,2007-07-02T00:00:00,AAI,,,,,
86934-20050216,1561551,85252,2,TRINISA INC,TRINISA INC,6845  LAVERGNE   1,SKOKIE,IL,60077,,,,,1010,Limited Business License,,,86934,RENEW,,2004-12-20T00:00:00,2006-09-11T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,,2006-09-11T00:00:00,AAI,,,,,
1300059-20050216,1562576,201476,1,"WALSH BROTHERS CONSTRUCTION, INC.","WALSH BROTHERS CONSTRUCTION, INC.",310 N BUSSE HWY  237,PARK RIDGE,IL,60068,,,,,1011,Home Repair,,,1300059,RENEW,,2004-12-20T00:00:00,2005-01-28T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,2006-03-31T00:00:00,2006-04-03T00:00:00,AAI,,,,,
1246705-20050216,1565613,247364,1,K & K DEVELOPMENT I INC.,K & K DEVELOPMENT I INC.,1953 S EUCLID AVE  105,BERWYN,IL,60402,,,,,1011,Home Repair,,,1246705,RENEW,,2004-12-20T00:00:00,2007-04-27T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,2007-04-27T00:00:00,2007-07-02T00:00:00,AAI,,,,,
1334397-20050216,1567157,259083,1,"DAVID M. DANIELS, SR.",D M D ELECTRICAL CONSTRUCTION LIGHTING AND MAINTENANCE CONTRACTOR,1187  WILMETTE AVE  279,WILMETTE,IL,60091,,,,,1010,Limited Business License,,,1334397,RENEW,,2004-12-20T00:00:00,2007-06-06T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,,2007-06-06T00:00:00,AAI,,,,,
1334398-20050216,1567158,259083,1,"DAVID M. DANIELS, SR.",D M D ELECTRICAL CONSTRUCTION LIGHTING AND MAINTENANCE CONTRACTOR,1187  WILMETTE AVE  279,WILMETTE,IL,60091,,,,,1011,Home Repair,,,1334398,RENEW,,2004-12-20T00:00:00,2007-06-06T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,,2007-06-06T00:00:00,AAI,,,,,
1358698-20050216,1568147,264677,1,DYNAMIC RENOVATIONS,DYNAMIC RENOVATIONS INC,800 E NORTHWEST HWY  700,PALATINE,IL,60074,,,,,1011,Home Repair,,,1358698,RENEW,,2004-12-20T00:00:00,2005-02-16T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,,2006-07-19T00:00:00,AAI,,,,,
1477258-20050216,1569903,273322,1,"ULTIMATE BUILDERS, INC.","ULTIMATE BUILDERS, INC.",600  MORSE   UNIT C,SCHAUMBURG,IL,60193,,,,,1010,Limited Business License,,,1477258,RENEW,,2004-12-20T00:00:00,2011-06-29T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,2011-06-29T00:00:00,2011-06-30T00:00:00,AAI,,,,,
1519518-20050216,1572190,281392,1,RONALD  GOLDE,KBR DESIGNS,3700  CAPRI CT  406,GLENVIEW,IL,60025,,,,,1010,Limited Business License,,,1519518,RENEW,,2004-12-20T00:00:00,2005-02-14T00:00:00,N,2005-02-16T00:00:00,2006-02-15T00:00:00,2005-02-14T00:00:00,2008-06-16T00:00:00,AAI,,,,,
1574644-20060327,1574644,273121,2,ALL-BRY CONSTRUCTION CO.,ALL-BRY CONSTRUCTION CO.,16W455 S FRONTAGE RD  111,BURR RIDGE,IL,60527,,,,,1010,Limited Business License,,,1574644,ISSUE,2005-01-19T00:00:00,2005-03-18T00:00:00,2006-03-24T00:00:00,N,2006-03-27T00:00:00,2007-02-15T00:00:00,2006-03-24T00:00:00,2006-03-27T00:00:00,AAI,,,,,
1591757-20051116,1635929,207755,2,SIRRERA ENTERPRISE INC,SIRRERA  ENTERPRISE INC,30 S STOLP AVE  405,AURORA,IL,60505,,,,,1010,Limited Business License,,,1591757,RENEW,,2005-09-22T00:00:00,2006-05-16T00:00:00,N,2005-11-16T00:00:00,2006-11-15T00:00:00,2006-05-16T00:00:00,2006-05-17T00:00:00,AAI,,,,,
1474072-20060216,1650676,2700,2,MELVYN VORONOFF,MARK AMUSEMENT CO,425  VILLAGE GREEN   208,LINCOLNSHIRE,IL,60069,,,,,1046,Automatic Amusement Device Operator,,,1474072,RENEW,,2005-12-21T00:00:00,2006-02-09T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-02-09T00:00:00,2006-02-10T00:00:00,AAI,,,,,
32604-20060216,1651303,4289,3,ALL STAR AMUSEMENT CO,ALL STAR AMUSEMENT,15  WILLOW BAY DRIV   GROUN,SOUTH BARRINGTON,IL,60010,,,,,1010,Limited Business License,,,32604,RENEW,,2005-12-21T00:00:00,2006-03-30T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-03-30T00:00:00,2006-04-06T00:00:00,AAI,,,,,
15103-20060216,1651435,5041,8,"AVIS RENT A CAR SYSTEM, LLC","AVIS RENT A CAR SYSTEM, INC.",4000 N O'HARE FIELD   1ST F,CHICAGO,IL,60666,,,,,1010,Limited Business License,,,15103,RENEW,,2005-12-21T00:00:00,2006-02-09T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-02-09T00:00:00,2006-02-10T00:00:00,AAI,,,,,
31625-20060216,1651468,5206,2,WINDY CITY AMUSEMENT,WINDY CITY AMUSEMENT,920 W MAIN ST  1ST,SAINT CHARLES,IL,60174,,,,,1010,Limited Business License,,,31625,RENEW,,2005-12-21T00:00:00,2006-01-17T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-17T00:00:00,2006-01-18T00:00:00,AAI,,,,,
11590-20060216,1651513,5453,1,SCANDINAVIAN BUILDERS LIMITED,SCANDINAVIAN BUILDERS LTD,2932  MALMO DR  1ST,ARLINGTON HEIGHTS,IL,60005,,,,,1010,Limited Business License,,,11590,RENEW,,2005-12-21T00:00:00,2006-01-13T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-13T00:00:00,2006-01-17T00:00:00,AAI,,,,,
11601-20060216,1651514,5457,2,VIDEOTEC CORP,VIDEOTEC CORP,9801  SPRING   1,HIGHLAND PARK,IN,46322,,,,,1010,Limited Business License,,,11601,RENEW,,2005-12-21T00:00:00,2006-02-15T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-02-15T00:00:00,2006-02-16T00:00:00,AAI,,,,,
50664-20060216,1651521,5517,2,DIVANE BROS. ELECTRIC CO.,DIVANE BROS. ELECTRICAL CO.,2424 N 25TH AVE  1,FRANKLIN PARK,IL,60131,,,,,1010,Limited Business License,,,50664,RENEW,,2005-12-21T00:00:00,2006-01-13T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-13T00:00:00,2006-01-17T00:00:00,AAI,,,,,
32946-20060216,1651526,5565,2,BEST BUILT FABRICATING CO,BEST BUILT FABRICATING CO,16650 S VINCENNES AVE  1ST,SOUTH HOLLAND,IL,60473,,,,,1010,Limited Business License,,,32946,RENEW,,2005-12-21T00:00:00,2006-02-03T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-02-03T00:00:00,2006-02-06T00:00:00,AAI,,,,,
46988-20060216,1651735,6424,2,NORTH AMERICAN MIDWAY ENTERTAINMENT ASTRO AMUSEMEN,NORTH AMERICAN MIDWAY ENTERTAINMENT-ASTRO AMUSEMEN,33 W HIGGINS RD  630,SOUTH BARRINGTON,IL,60010,,,,,1010,Limited Business License,,,46988,RENEW,,2005-12-21T00:00:00,2006-01-23T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-23T00:00:00,2006-01-31T00:00:00,AAI,,,,,
1141121-20060216,1651772,6563,2,"DANLEY LUMBER CO., INC.","DANLEY LUMBER CO., INC.",3100  DUNDEE RD  910,NORTHBROOK,IL,60062,,,,,1010,Limited Business License,,,1141121,RENEW,,2005-12-21T00:00:00,2006-01-24T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-24T00:00:00,2006-01-25T00:00:00,AAC,2006-03-03T00:00:00,,,,
15972-20060216,1651846,6799,1,OSMAN CONSTRUCTION CORPORATION,OSMAN CONSTRUCTION CORPORATION,70 W SEEGERS RD  1,ARLINGTON HEIGHTS,IL,60005,,,,,1010,Limited Business License,,,15972,RENEW,,2005-12-21T00:00:00,2006-02-02T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-02-02T00:00:00,2006-02-03T00:00:00,AAI,,,,,
16420-20060216,1651861,6858,1,MECCON INDUSTRIES INC,MECCON INDUSTRIES INC.,2703  BERNICE RD  1,LANSING,IL,60438,,,,,1010,Limited Business License,,,16420,RENEW,,2005-12-21T00:00:00,2006-01-23T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-23T00:00:00,2006-01-24T00:00:00,AAI,,,,,
16634-20060216,1651878,6902,3,MOHID SULEIMAN,4227 W 108 ST VIDEO REPAIR SRV,4227 W 108TH   1,OAK LAWN,IL,60453,,,,,1046,Automatic Amusement Device Operator,,,16634,RENEW,,2005-12-21T00:00:00,2006-02-15T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-02-15T00:00:00,2006-02-16T00:00:00,AAI,,,,,
16763-20060216,1651886,6926,2,"DEJAGER CONSTRUCTION, INC",DEJAGER CONSTRUCTION INC,75  60TH ST S W   1,WYOMING,MI,49548,,,,,1010,Limited Business License,,,16763,RENEW,,2005-12-21T00:00:00,2006-05-09T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-05-09T00:00:00,2006-05-10T00:00:00,AAI,,,,,
16883-20060216,1651894,6956,1,R B HAYWARD COMPANY,R B HAYWARD COMPANY,9556  RIVER ST  1ST,SCHILLER PARK,IL,60176,,,,,1010,Limited Business License,,,16883,RENEW,,2005-12-21T00:00:00,2006-01-13T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-13T00:00:00,2006-01-17T00:00:00,AAI,,,,,
16920-20060216,1651899,6965,2,R W COLLINS CO,R W COLLINS CO,7225 W 66TH ST  1,BEDFORD PARK,IL,60638,,,,,1010,Limited Business License,,,16920,RENEW,,2005-12-21T00:00:00,2006-01-17T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-17T00:00:00,2006-01-18T00:00:00,AAI,,,,,
16927-20060216,1651900,6969,2,BLOOMFIELD CORPORATION,BLOOMFIELD CORPORATION,6636  MELTON RD  1ST,PORTAGE,IN,46368,,,,,1010,Limited Business License,,,16927,RENEW,,2005-12-21T00:00:00,2006-01-17T00:00:00,N,2006-02-16T00:00:00,2007-02-15T00:00:00,2006-01-17T00:00:00,2006-01-18T00:00:00,AAI,,,,,
